Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,1,0,...,...,...,...,...,...,...,...,...,...,1
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,...,...,...,...,...,...,...,...,...,...,0
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,...,...,...,...,...,...,...,...,...,...,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,2,...,...,...,...,...,...,...,...,...,...,2
Nº DE ARMAS DE FOGO APREENDIDAS,0,1,...,...,...,...,...,...,...,...,...,...,1
Nº DE FLAGRANTES LAVRADOS,4,3,...,...,...,...,...,...,...,...,...,...,7
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,1,...,...,...,...,...,...,...,...,...,...,1
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,...,...,...,...,...,...,...,...,...,...,0
Nº DE PESSOAS PRESAS EM FLAGRANTE,4,3,...,...,...,...,...,...,...,...,...,...,7
Nº DE PESSOAS PRESAS POR MANDADO,2,3,...,...,...,...,...,...,...,...,...,...,5
Nº DE PRISÕES EFETUADAS,6,6,...,...,...,...,...,...,...,...,...,...,12
Nº DE VEÍCULOS RECUPERADOS,4,3,...,...,...,...,...,...,...,...,...,...,7
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,11,17,...,...,...,...,...,...,...,...,...,...,28
