Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,2,0,0,0,0,0,0,1,1,0,1,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,2,0,0,0,0,0,0,1,1,0,1,5
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,2,2,2,1,1,0,1,1,0,2,1,4,17
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,3,3,7,10,7,12,9,4,6,6,7,8,82
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,11,11,8,8,9,5,8,9,7,7,6,10,99
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,1,0,0,0,0,0,0,0,0,1,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,2,0,1,0,0,1,2,0,0,2,9
ESTUPRO,0,1,0,0,0,0,0,0,0,0,0,1,2
ESTUPRO DE VULNERÁVEL,0,0,2,0,1,0,0,1,2,0,0,1,7
TOTAL DE ROUBO - OUTROS (1),10,3,14,8,7,4,7,7,5,6,2,8,81
ROUBO - OUTROS,8,3,13,7,7,4,7,7,4,6,2,7,75
ROUBO DE VEÍCULO,1,0,3,1,1,0,1,1,5,1,3,3,20
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,0,1,1,0,0,0,0,1,0,0,1,6
FURTO - OUTROS,15,20,19,21,17,19,21,15,15,23,18,10,213
FURTO DE VEÍCULO,0,0,0,0,0,1,4,2,2,1,0,2,12
